categorie;structure;etablissement;handicaps;handicap_mental;handicap_auditif;handicap_visuel;handicap_moteur;siteweb;telephone;fax;label;departement;ville;code_postal;adresse;adresseadmin;emailcontact;lat;lng;wgs84
Lieu de visite;Patrimoine;Musée de la Grande Guerre du Pays de Meaux;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.museedelagrandeguerre.eu;01 60 32 14 18;01 60 32 14 14;;Seine-et-Marne;MEAUX;77100;rue Lazare Ponticelli;;florence.caillet@meaux.fr;48.9713368;2.9041135;48.9713368, 2.9041135
Hôtel;Hôtel;Hôtel  restaurant Apollonia;mental;Oui;Non;Non;Non;http://www.apollonia-hotel.com;01 60 65 65 35;01 64 38 10 41;;Seine-et-Marne;SAINT FARGEAU PONTHIERRY;77310;27 rue de la Saussaie;;info@apollonia-hotel.com;48.5374672;2.5429371;48.5374672, 2.5429371
Chambre d'hôtes;Chambre d'hôtes;Chambres d'Hôtes de M. Morisseau;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.aloreedeschamps.fr;01 64 01 95 85;01 64 01 25 88;;Seine-et-Marne;VILLIERS SAINT GEORGES;77560;40 rue de Nogent;;emmanuel.morisseau@wanadoo.fr;48.6430779;3.4101811;48.6430779, 3.4101811
Activités sportives de pleine nature;Activité de plein air;Parcours des Glacières;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;06 22 04 88 05;;;Yvelines;RAMBOUILLET;78120;Maison Forestière de la Vénerie;;jean-marc.poire@onf.fr;48.643868;1.829079;48.643868, 1.829079
Lieu de visite;Site pédagogique;Parc Réserve et Château de Thoiry;"auditif ; mental";Oui;Oui;Non;Non;http://www.thoiry.net;01 34 87 52 25;01 34 87 54 12;;Yvelines;THOIRY EN YVELINES;78770;Parc et Château de Thoiry BP 9;;resa@thoiry.net;48.7850939;1.8256572;48.7850939, 1.8256572
Office de tourisme;Espace d'information;Office de Tourisme de Versailles;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.versailles-tourisme.com;01 39 24 88 88;01 39 24 88 89;;Yvelines;VERSAILLES;78000;2 bis avenue de Paris;;"tourisme@ot-versailles.fr;handicap@ot-versailles.fr";48.8019035;2.1287005;48.8019035, 2.1287005
Structure diverse;Structure diverse;Le Génocentre;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.genocentre.fr;0169472582/3489;01 69 47 28 40;;Essonne;EVRY;91002;1 rue de l'Internationale BP 59;;genocentre@afm.genethon.fr;48.629828;2.441782;48.629828, 2.441782
Office de tourisme;Espace d'information;Office de Tourisme Orsay Vallée de Chevreuse;"moteur ; mental";Oui;Non;Non;Oui;http://www.tourisme-valleedechevreuse91.com;01 69 28 59 72;01 69 07 28 46;;Essonne;ORSAY;91400;17 rue de l'Yvette;;tourisme.valchevreuse@wanadoo.fr;48.6996029;2.1854723;48.6996029, 2.1854723
Meublé de tourisme;Meublé de tourisme;Chalet La Coccinelle;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;01 60 86 27 47;;Clévacances;Essonne;VILLABE;91100;4 place Roland Vincent;;jsdetrait@libertysurf.fr;48.588057;2.4562112;48.588057, 2.4562112
Activités sportives de pleine nature;Activité sportive;Piscine Pierre de Coubertin dite Complexe aquatique et sportif Val de Forme;"moteur ; mental";Oui;Non;Non;Oui;http://www.valdeforme-equalia.fr;01 69 12 24 47;;;Essonne;YERRES;91330;2 rue Pierre de Coubertin;;m.journet@plante-equalia.fr;48.7125093;2.4794234;48.7125093, 2.4794234
Lieu de visite;Patrimoine;Musée Français de la Carte à Jouer;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.issy.com/musee;01 41 23 83 60;01 41 23 83 66;;Hauts-de-Seine;ISSY LES MOULINEAUX;92130;A l'attention de M. Butaye  16 rue Auguste Gervais;;musee@ville-issy.fr;48.8235539;2.2730205;48.8235539, 2.2730205
Hôtel;Hôtel;Novotel Paris La Défense;auditif;Non;Oui;Non;Non;http://www.novotel.com;01 41 45 23 24;01 41 45 23 24;;Hauts-de-Seine;PARIS LA DÉFENSE CEDEX;92081;2 bd de Neuilly;;h0747-fo@accor.com;48.8897359;2.2418428;48.8897359, 2.2418428
Hôtel;Hôtel;Suitehôtel Rueil Malmaison;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.accor-hotels.com;01 47 52 22 62;01 47 52 22 60;;Hauts-de-Seine;RUEIL MALMAISON;92500;17 rue François Jacob;;H3326-gm@accor-hotels.com;48.8903811;2.1744115;48.8903811, 2.1744115
Hôtel;Hôtel;Hôtel Ibis Stade Sud;"moteur ; mental";Oui;Non;Non;Oui;http://www.accorhotels.com;01 55 93 36 00;01 55 93 36 00;;Seine-Saint-Denis;SAINT DENIS LA PLAINE;93210;Rue de la Cokerie;;h2792@accor.com;48.9212369;2.362977;48.9212369, 2.362977
Loisirs;Loisirs;Playmobil Fun Park;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.playmobil-funpark.fr;01 49 84 94 44;;;Val-de-Marne;FRESNES;94260;22-24 rue des Jachères;;funpark@playmobil.fr;48.7547297;2.3313944;48.7547297, 2.3313944
Hôtel;Hôtel;Hôtel Ibis Roissy CDG;moteur;Non;Non;Non;Oui;;01 48 17 56 56;01 48 17 56 51;;Val-d'Oise;ROISSY CDG CEDEX;95974;335 rue de la Belle Etoile Paris Nord II;;H3299@accor.com;48.978826;2.500509;48.978826, 2.500509
Structure diverse;Structure diverse;CPCV Ile de France;mental;Oui;Non;Non;Non;http://www.cpcvidf.asso.fr;01 34 27 46 46;01 34 27 46 41;;Val-d'Oise;SAINT PRIX;95390;7 rue du Château de la Chasse;;accueil@cpcvidf.asso.fr;49.0152676;2.2783325;49.0152676, 2.2783325
